Ligand Number	SMILES
30410	N#Cc1cc(C(F)(F)F)ccc1Oc1cccc(F)c1
7215	N#Cc1cc(F)cc(O[C@H]2CCCc3ccccc32)c1
4942	N#Cc1ccc(Oc2cccc(F)c2)c2ccccc12
25172	Cc1ccc([C@@H]2C[C@H](C#N)CN2)cc1S(C)(=O)=O
1296	Cc1cc(C(=O)O)ccc1Oc1cc(F)cc(C#N)c1
4919	N#Cc1cc(F)cc(O[C@@H](CN)c2cccs2)c1
34928	CC1=C[C@H](C)CN(c2cc(F)cc(C#N)c2)C1
14259	N#Cc1cc(F)cc(O[C@H]2COCC2(F)F)c1
23172	CN[C@H]1CCC[C@@H]1Oc1cc(F)cc(C#N)c1
28236	N#Cc1ccc(O)c(NC(=O)c2cc(F)cc3ccoc23)c1
37005	N#Cc1cc(F)cc(O[C@@H]2CC[C@](N)(CO)C2)c1
14775	Cc1ccc2c(c1)CCN[C@@H]2c1cc(F)cc(C#N)c1
6822	Cc1cc(C#N)ccc1S(C)(=O)=O
4365	CC(=O)[C@H](C)Oc1cc(F)cc(C#N)c1
37883	N#C[C@H](O)c1ccc2c(c1)OC1(CCC1)O2
36873	N#Cc1cc([N+](=O)[O-])ccc1Oc1ccc(F)cc1
549	N#Cc1cc(Oc2cc(F)ccc2N)nc2ccccc12
1983	CN[C@@]1(C(=O)O)CC[C@@H](Oc2cc(F)cc(C#N)c2)C1
33691	N#Cc1cc(F)cc(-c2ccccc2)c1
16748	N#C[C@H](O)c1ccc2c(c1)NS(=O)(=O)CO2
20893	CS[C@H]1CC[C@@H]1Oc1cc(F)cc(C#N)c1
31600	CC[C@@H](O)c1ccc(-c2ccccc2S(C)(=O)=O)o1
16554	N#Cc1cc(F)cc(Oc2ccccc2CCO)c1
24839	Cc1cc(C(=O)O)ccc1Oc1cccc(F)c1
12855	C[C@H](O)c1ccc(Oc2cc(F)cc(F)c2)c([N+](=O)[O-])c1
7844	C[C@@](COc1cc(F)cc(C#N)c1)(NC1CC1)C(N)=O
10259	CCCN1C[C@H](Oc2cc(F)cc(C#N)c2)[C@@H](O)C1
21684	C[C@H]1C[C@@H](O)[C@@H](Oc2cc(F)cc(C#N)c2)[C@@H](C)C1
30481	N#Cc1cc(F)cc(O[C@@H]2CC[C@@H]3C[C@@H]32)c1
31080	CC(C)(C)[C@@H](Oc1cc(F)cc(C#N)c1)C(=O)NN
21741	C[C@H]1C[C@@H](N)[C@@H](Oc2cc(F)cc(C#N)c2)[C@@H](C)C1
16355	CS(=O)(=O)[C@@H]1CCC[C@H](Oc2cc(F)cc(C#N)c2)C1
28548	CS(=O)(=O)[C@@H]1CCC[C@H](Oc2cc(F)cc(CO)c2)C1
23396	C=CCCS(=O)(=O)Oc1cc(F)cc(C#N)c1
22092	N#Cc1cc(F)cc(O[C@H]2CC[C@@H](O)C2)c1
29429	C[C@@H]1C[C@H](Oc2cc(F)cc(C#N)c2)CO1
24129	N#Cc1cc(Cl)ccc1Oc1cc(F)cc(F)c1
16406	O=S1(=O)c2ccc(Oc3cc(F)cc(F)c3)c(C(F)F)c2[C@@H](O)C1(F)F
16014	N#Cc1cc(F)cc(Oc2ncc(Br)cc2[N+](=O)[O-])c1
470	CS(=O)(=O)c1cc([N+](=O)[O-])ccc1Oc1ccc(F)cc1
15123	CC(C)CCS(=O)(=O)Oc1cc(F)cc(C#N)c1
34418	N#Cc1cc(F)cc(O[C@@H]2CCC[C@](N)(C(=O)O)C2)c1
14730	CC[C@@H](COc1cc(F)cc(C#N)c1)CC(F)F
35840	COc1cc(C(=O)C#N)ccc1S(C)(=O)=O
28594	CS(=O)(=O)c1ccc([C@@H](N)C#N)cc1Br
4606	N#Cc1cc(F)cc(O[C@@H]2CCC[C@](N)(C(N)=O)C2)c1
5808	Cc1ccc([C@H](CN)Oc2cc(F)cc(C#N)c2)s1
12071	CN[C@@H]1[C@@H](Oc2cc(F)cc(C#N)c2)CCC1(F)F
14460	C[C@H](O)c1ccc(-c2cc(F)cc(C#N)c2)cc1
11390	CC(=O)Nc1ccccc1Oc1cc(F)cc(C#N)c1
38669	CCCN1C[C@H](Oc2cc(F)cc(C#N)c2)[C@@H](O)C1
6682	N#Cc1cc(F)cc(O[C@H]2CCCCC[C@H]2O)c1
4027	N#Cc1cc(F)cc(O[C@@H]2CC3(CC[C@H]2O)OCCO3)c1
8756	CC[C@@H]1CC[C@@H](O)[C@H](Oc2cc(F)cc(C#N)c2)C1
8447	N#Cc1cc(F)cc(Oc2ncc(N)cc2C(N)=O)c1
20577	N#Cc1cc(F)cc(Oc2ccc(N)cc2C(N)=O)c1
10838	C[C@@H](Oc1cc(F)cc(C#N)c1)C(N)=O
12251	Cc1ccc([C@@H](Oc2cc(F)cc(C#N)c2)[C@H](C)N)o1
11833	N#Cc1cc(F)cc(CN[C@@H]2CCc3ccccc32)c1
10546	N#Cc1cc(Cl)ccc1Oc1cccc(F)c1
31785	N#Cc1cc(F)cc(OS(=O)(=O)O)c1
25484	N#Cc1cc(F)cc([C@@H](O)CO)c1
23980	CS(=O)(=O)c1cc(N)ccc1Oc1ccc(F)cc1
36091	N#Cc1cc(F)cc(OCC(C2CC2)C2CC2)c1
33808	N#Cc1cc(F)cc(O[C@@H]2CCOC2=O)c1
34075	CS(=O)(=O)N1CC[C@@H](Oc2cc(F)cc(C#N)c2)C1
35505	COc1cc(C#N)ccc1Oc1cc(N)cc(F)c1
23201	N#Cc1cc(F)cc(O[C@H]2CCCC(F)(F)[C@@H]2N)c1
429	COC[C@@H](Oc1cc(F)cc(C#N)c1)C(=O)NN
40826	C[C@H](C#N)OC(=O)c1ccc(S(C)(=O)=O)c(Br)c1
11731	COC[C@@H]1C[C@@H](O)[C@H](Oc2cc(F)cc(C#N)c2)C1
15291	COc1ccc(C#N)cc1S(C)(=O)=O
3738	CS(=O)(=O)c1ccc(C#N)cc1N
22923	N#Cc1ccncc1Oc1cccc(F)c1
13932	N#Cc1cc(F)cc(O[C@H]2COC[C@H]2N)c1
25009	N#Cc1cc(F)cc(Oc2nc(N)nc3ccsc23)c1
24125	CC[C@@H](C)c1ccccc1Oc1cc(F)cc(C#N)c1
15834	Cc1ccc([C@H](N)C#N)cc1S(C)(=O)=O
19500	N#Cc1cnccc1Oc1cccc(F)c1
38273	N#Cc1cc(F)cc(Oc2ccc(N)cc2C(F)F)c1
34210	CC(=O)c1cc(Br)ccc1Oc1cc(F)cc(C#N)c1
22273	N#Cc1cc(F)cc(NC(=O)NC[C@H](O)c2ccco2)c1
14118	N#Cc1cc(F)cc(Oc2ncccc2CN)c1
21505	COc1cc(C)ccc1Oc1cc(C#N)ccc1N
22510	N#Cc1cc(F)cc(Oc2ccc(CO)nc2)c1
26637	N#Cc1cc(F)cc(-c2cc[nH]c(=O)n2)c1
40360	N#Cc1cc(F)cc(O[C@H]2CCCC[C@@H]2O)c1
24685	N#Cc1cc(F)cc(O[C@@H]2CCCC23CC3)c1
28750	C[C@@H](C(=O)Nc1cc(F)cc(C#N)c1)S(C)(=O)=O
6768	N#Cc1cc(F)cc(O[C@@H](CN)c2ccco2)c1
35255	N#Cc1cc(F)cc(Oc2ccc(N)cc2Br)c1
13874	N#Cc1cc(F)cc(Oc2ccc(C#N)cc2Br)c1
17378	N#Cc1cc(F)cc(NC(=O)NC[C@@H](O)c2ccsc2)c1
28350	CCN[C@@H]1CCC[C@@H](Oc2cc(F)cc(C#N)c2)C1
21795	N#Cc1cc(F)cc(Oc2ccc(C(=O)O)cc2)c1
13040	C[C@H](N)c1cc(F)ccc1Oc1cc(F)cc(C#N)c1
12127	CC=CCOc1cc(F)cc(C#N)c1
17662	C[C@@](CO)(COc1cc(F)cc(C#N)c1)NC1CC1
32927	C[C@H](O)c1cccnc1Oc1cc(F)cc(C#N)c1
24318	C[C@@H]1C[C@@H](Oc2cc(F)cc(C#N)c2)CO1
34854	C[C@H](O)c1cc(F)ccc1Oc1cccc(C#N)c1
28649	CS(=O)(=O)[C@H]1CCC[C@H](Oc2cc(F)cc(C#N)c2)C1
37613	Cc1cc([C@@H](N)C#N)ccc1S(C)(=O)=O
14831	C[C@H](N)c1ccc(Oc2cc(F)cc(C#N)c2)nc1
20693	C[C@]1(Nc2cc(C#N)ccc2N)CCC[C@@H]1O
36974	CN[C@@H]1[C@@H](Oc2cc(F)cc(C#N)c2)CCC1(C)C
30425	C[C@H]1CNC[C@@H]1Oc1cc(F)cc(C#N)c1
9842	CS(=O)(=O)c1ccccc1C(=O)Nc1cc(F)cc(C#N)c1
33481	COC(=O)[C@@H](Oc1cc(F)cc(C#N)c1)C1CC1
38447	C[C@H](N)c1ccc(Oc2cc(F)cc(C#N)c2)c(Br)c1
36981	N#Cc1cc(F)cc(Oc2cnccc2CN)c1
14128	N#Cc1cc(F)cc(Oc2ccc(C=O)cc2F)c1
23350	N#Cc1cc(F)cc(OC[C@@](N)(C(N)=O)C2CC2)c1
35185	N#Cc1cc(F)cc(S(=O)(=O)N2CC(O)C2)c1
27651	CN1CCC(Oc2cc(F)cc(C#N)c2)CC1
27055	N#Cc1cc(F)cc(Oc2ccc(S(N)(=O)=O)cc2)c1
10596	N#Cc1cc(F)cc(Oc2ccc(Br)cc2C#N)c1
23910	C[C@]1(O)CCC[C@@H]1Oc1cc(F)cc(C#N)c1
24790	Cc1ccc([C@H]2C[C@@H](C#N)CN2)cc1S(C)(=O)=O
31078	N#Cc1cc(C(=O)O)ccc1Oc1cc(F)cc(F)c1
2536	N#Cc1cc(CO)ccc1Oc1cc(F)cc(F)c1
18835	N#Cc1cc(F)cc(OS(=O)(=O)[C@H]2C[C@@H](C(=O)O)C2)c1
35730	CS(=O)(=O)c1ccc([C@@H](N)C#N)cc1F
21030	C[C@@H](N)[C@H](Oc1cc(F)cc(C#N)c1)c1ccco1
12527	COc1ccc([C@@H](N)C#N)cc1S(C)(=O)=O
6451	N#Cc1cc(CO)ccc1Oc1cccc(F)c1
10672	C[P@]1(=O)C[C@@H](O)[C@H](Oc2cc(F)cc(C#N)c2)C1
24156	N#Cc1ccc(Oc2ccccc2)c(C#N)c1
20776	CC(=O)c1ccccc1Oc1cc(F)cc(C#N)c1
31090	COc1cc([C@H](O)C#N)ccc1S(C)(=O)=O
27844	C[C@@H]1[C@H](N)CC[C@H]1Oc1cc(F)cc(C#N)c1
30108	CS(=O)(=O)c1ccc([C@@H](F)C#N)cc1Br
23255	C[C@H]1C[C@@H](N)[C@H](Oc2cc(F)cc(C#N)c2)[C@@H](C)C1
27504	C[C@@H]1CC[C@H](Oc2cc(F)cc(C#N)c2)C1
10039	N#Cc1cc(F)cc(Oc2ccc3c(c2)CCC3)c1
9806	Cc1cc(C=O)ccc1Oc1cc(F)cc(F)c1
13372	Cc1cc(C(=O)O)ccc1Oc1cc(F)cc(F)c1
39901	N#Cc1ccc(Oc2ccc(F)cc2N)c(C(F)(F)F)c1
2661	CS(=O)(=O)c1ccc(Oc2cnccc2C#N)cc1
10542	Cc1cc(C#N)ccc1Oc1cccc(F)c1
29719	N#Cc1cc(F)cc(O[C@@H]2CC[C@](N)(C(N)=O)C2)c1
21225	N#Cc1cc(F)cc([C@H]2CC[C@H](CO)N2)c1
38740	COC(=O)[C@@H](O)c1ccc(S(C)(=O)=O)c(SC)c1
26771	N#Cc1cc(F)cc(O[C@@H](CN)c2ccsc2)c1
7370	C[C@H](N)[C@@H](Oc1cc(F)cc(C#N)c1)c1ccco1
37048	CC[C@@H]1CCC[C@H](Oc2cc(F)cc(C#N)c2)C1
28611	N#Cc1cc(Oc2ccc(F)cc2F)ccc1N
20772	N#Cc1cc(F)ccc1Oc1cc(F)cc(F)c1
10783	N#Cc1ccc(Oc2ccc(F)cc2S(=O)(=O)C(F)(F)F)cc1
32761	C[C@@H](O)c1ccc(Oc2cc(F)cc(C#N)c2)cc1
18468	N#Cc1cc(F)cc(Oc2cccc3ncccc23)c1
3484	COc1cc(C#N)ccc1Oc1cc(F)cc(C#N)c1
5349	N#Cc1cc(F)cc(-c2ccc(O)cc2)c1
9361	CC(C)[C@@H](O)C#Cc1cc(F)cc(C#N)c1
24729	CSc1ccc(C#N)cc1S(C)(=O)=O
32115	CC(C)[C@H](C)Oc1cc(F)cc(C#N)c1
25531	N#Cc1cc(F)cc(Oc2ccc(F)cc2C#N)c1
19566	COc1cc([C@@H](O)C#N)ccc1S(C)(=O)=O
19807	CCN[C@@H]1CC[C@H](Oc2cc(F)cc(C#N)c2)C1
8832	CS(=O)(=O)c1ccc(Oc2cc(F)cc(C#N)c2)c2c1[C@@H](O)C(F)(F)C2
38417	N#Cc1cc(F)cc(OS(=O)(=O)C[C@@H]2CCC2(F)F)c1
